28,371
31,369
33,367
36,366
38,363
41,361
44,358
47,356
50,353
53,351
56,349
58,347
61,345
64,342
66,340
68,338
71,336
75,332
77,329
80,326
84,322
86,317
90,314
92,309
96,307
98,302
100,300
102,296
105,293
107,291
108,289
109,287
110,286
110,285
111,283
112,282
112,281
113,280
114,279
114,278
114,277
114,278
114,279
114,280
114,281
114,283
114,285
113,289
112,293
111,298
109,303
107,309
106,314
104,320
103,327
100,332
99,338
98,345
97,350
97,354
96,359
96,362
96,365
96,368
96,370
96,372
96,374
96,376
96,377
96,379
97,380
98,381
99,382
100,382
101,382
102,382
104,382
106,382
108,381
110,379
113,377
116,374
118,371
119,368
121,364
123,361
125,358
126,354
127,351
128,347
128,343
129,339
130,335
130,331
132,326
132,322
132,317
132,313
132,310
132,305
132,302
132,300
132,297
132,295
132,292
132,290
132,287
132,283
132,282
132,278
132,276
132,274
132,271
132,270
132,269
132,267
132,266
132,265
132,264
132,263
132,262
132,261
132,260
132,261
132,262
132,263
133,266
133,269
134,273
136,277
137,282
138,288
141,293
142,300
143,304
144,311
147,316
148,320
150,325
152,330
153,333
155,337
156,340
158,343
161,347
162,350
164,352
166,356
167,359
169,362
170,366
173,368
174,371
175,373
176,374
177,376
178,377
179,377
180,378
182,378
183,379
184,379
185,379
186,379
187,379
188,379
190,378
191,378
192,377
193,375
195,374
197,372
199,370
201,367
202,365
203,363
205,360
206,358
207,357
207,355
208,353
208,352
209,351
209,350
210,349
210,348
210,347
211,345
211,344
211,342
212,341
212,340
212,339
212,338
212,337
213,336
213,335
214,335
214,334
215,333
215,332
215,331
216,331
216,330
217,330
217,329
217,328
217,327
217,326
218,326
218,325
219,325
219,323
220,321
220,320
221,319
221,317
222,316
222,315
223,313
223,312
224,311
224,310
225,308
225,307
226,305
226,304
227,303
227,302
228,300
229,300
230,299
231,297
232,295
232,293
233,291
234,289
235,287
236,285
237,283
238,281
238,280
239,279
240,278
240,277
240,276
241,275
241,274
241,273
241,272
241,271
241,270
242,270
243,269
243,268
244,267
244,266
245,266
245,265
245,264
246,263
247,262
247,261
248,260
249,260
249,261
249,262
249,263
249,265
248,267
248,269
248,271
248,273
247,276
247,278
247,281
247,285
247,288
247,291
247,295
247,300
247,304
247,310
248,319
248,325
248,331
249,338
249,344
249,350
249,356
249,362
249,369
249,373
249,378
249,381
249,383
249,386
